,VehicleID,Sequence,ORD_NO,SiteCode,ArrivalTime,WaitingTime,ServiceTime,DepartureTime,Delivered
57,VEH_2,2,20230503B473654_001,D_1,2023-05-03 13:56:45.647496240,0,60,2023-05-03 14:56:45.647496240,No
58,VEH_2,1,Null,O_144,2023-05-03 15:12:45.875852160,-1 days +20:47:14.124147840,0,2023-05-03 12:00:00,Null
59,VEH_2,2,MF2305026195477,D_1250,2023-05-03 15:57:16.925340840,0,60,2023-05-03 16:57:16.925340840,No
60,VEH_2,1,Null,O_9,2023-05-03 17:47:08.680829520,-1 days +18:12:51.319170480,0,2023-05-03 12:00:00,Null
61,VEH_2,2,MF2305196342063,D_1404,2023-05-03 13:45:05.475869580,0,60,2023-05-03 14:45:05.475869580,No
62,VEH_2,1,Null,O_11,2023-05-03 15:06:52.358068980,-1 days +20:53:07.641931020,0,2023-05-03 12:00:00,Null
63,VEH_2,2,MF2305196342049,D_1846,2023-05-03 13:54:08.407655040,0,60,2023-05-03 14:54:08.407655040,No
64,VEH_2,1,Null,O_179,2023-05-03 15:17:07.246514520,0 days 02:42:52.753485480,0,2023-05-03 18:00:00,Null
65,VEH_2,2,MF2305256364361,D_2405,2023-05-03 20:24:58.060235460,0,60,2023-05-03 21:24:58.060235460,No
66,VEH_2,1,Null,O_711,2023-05-03 22:21:41.542497060,0 days 01:38:18.457502940,0,2023-05-04 00:00:00,Null
67,VEH_2,2,20230504B476487_001,D_108,2023-05-04 01:12:37.273662900,0,60,2023-05-04 02:12:37.273662900,No
68,VEH_2,1,Null,O_174,2023-05-04 02:39:50.719856280,0 days 03:20:09.280143720,0,2023-05-04 06:00:00,Null
69,VEH_2,2,MF2305096269590,D_1184,2023-05-04 07:11:41.968051560,0,60,2023-05-04 08:11:41.968051560,No
70,VEH_2,1,Null,O_603,2023-05-04 09:01:36.592501140,0 days 02:58:23.407498860,0,2023-05-04 12:00:00,Null
71,VEH_2,2,MF2305096269624,D_1184,2023-05-04 12:47:08.249670359,0,60,2023-05-04 13:47:08.249670359,No
72,VEH_2,1,Null,O_603,2023-05-04 14:37:02.874119880,0 days 03:22:57.125880120,0,2023-05-04 18:00:00,Null
73,VEH_2,2,20230503B473271_001,D_233,2023-05-04 18:34:42.733329660,0,60,2023-05-04 19:34:42.733329660,No
74,VEH_2,1,Null,O_326,2023-05-04 20:06:18.937320240,0 days 03:53:41.062679760,0,2023-05-05 00:00:00,Null
75,VEH_2,2,20230503B474587_001,D_95,2023-05-05 01:11:51.810974460,0,60,2023-05-05 02:11:51.810974460,No
76,VEH_2,1,Null,O_673,2023-05-05 02:37:57.687279900,0 days 03:22:02.312720100,0,2023-05-05 06:00:00,Null
77,VEH_2,2,M18391735,D_385,2023-05-05 09:44:19.375659840,0,60,2023-05-05 10:44:19.375659840,No
78,VEH_2,1,Null,O_466,2023-05-05 10:47:05.460336480,,0,,Null
79,VEH_12,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
80,VEH_12,2,M18386998,D_293,2023-05-01 01:15:49.350238260,0,60,2023-05-01 02:15:49.350238260,No
81,VEH_12,1,Null,O_376,2023-05-01 02:57:01.235530140,0 days 09:02:58.764469860,0,2023-05-01 12:00:00,Null
82,VEH_12,2,20230501B468033_001,D_109,2023-05-01 13:45:20.208002580,0,60,2023-05-01 14:45:20.208002580,No
83,VEH_12,1,Null,O_144,2023-05-01 15:25:52.429591320,0 days 02:34:07.570408680,0,2023-05-01 18:00:00,Null
84,VEH_12,2,M18385456,D_329,2023-05-01 20:09:34.894038060,0,60,2023-05-01 21:09:34.894038060,No
85,VEH_12,1,Null,O_11,2023-05-01 21:31:26.838127080,0 days 08:28:33.161872920,0,2023-05-02 06:00:00,Null
86,VEH_12,2,M18387288,D_430,2023-05-02 06:41:10.938753540,0,60,2023-05-02 07:41:10.938753540,No
87,VEH_12,1,Null,O_174,2023-05-02 07:59:15.915731520,0 days 04:00:44.084268480,0,2023-05-02 12:00:00,Null
88,VEH_12,2,20230502B470377_001,D_208,2023-05-02 12:44:45.198987240,0,60,2023-05-02 13:44:45.198987240,No
89,VEH_12,1,Null,O_629,2023-05-02 14:25:55.052183280,0 days 09:34:04.947816720,0,2023-05-03 00:00:00,Null
90,VEH_12,2,MF2305036205414,D_1453,2023-05-03 03:36:07.091733,0,60,2023-05-03 04:36:07.091733,No
91,VEH_12,3,MF2305036205422,D_1455,2023-05-03 00:35:06.205901160,60,60,2023-05-03 02:35:06.205901160,No
92,VEH_12,1,Null,O_591,2023-05-03 06:17:41.702929680,0 days 05:42:18.297070320,0,2023-05-03 12:00:00,Null
93,VEH_12,2,MF2305026197514,D_1295,2023-05-03 16:02:24.521387880,0,60,2023-05-03 17:02:24.521387880,No
94,VEH_12,3,MF2305026197506,D_1295,2023-05-03 12:00:00,60,60,2023-05-03 14:00:00,No
95,VEH_12,1,Null,O_448,2023-05-03 18:42:30.718388099,0 days 05:17:29.281611901,0,2023-05-04 00:00:00,Null
96,VEH_12,2,MF2305126295253,D_1757,2023-05-04 03:20:54.159920640,0,60,2023-05-04 04:20:54.159920640,No
97,VEH_12,1,Null,O_430,2023-05-04 04:59:07.446964860,0 days 07:00:52.553035140,0,2023-05-04 12:00:00,Null
98,VEH_12,2,MF2305306377815,D_2739,2023-05-04 12:50:03.039676980,0,60,2023-05-04 13:50:03.039676980,No
99,VEH_12,1,Null,O_591,2023-05-04 14:07:52.806209340,,0,,Null
100,VEH_3,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
101,VEH_3,2,M18386900,D_293,2023-05-01 01:15:49.350238260,0,60,2023-05-01 02:15:49.350238260,No
102,VEH_3,1,Null,O_376,2023-05-01 02:57:01.235530140,0 days 03:02:58.764469860,0,2023-05-01 06:00:00,Null
103,VEH_3,2,20230501B468024_001,D_108,2023-05-01 09:09:57.520993140,0,60,2023-05-01 10:09:57.520993140,No
104,VEH_3,1,Null,O_174,2023-05-01 10:37:10.967186580,0 days 01:22:49.032813420,0,2023-05-01 12:00:00,Null
105,VEH_3,2,20230501B468318_001,D_109,2023-05-01 14:12:15.853967520,0,60,2023-05-01 15:12:15.853967520,No
106,VEH_3,1,Null,O_144,2023-05-01 15:52:48.075556260,0 days 02:07:11.924443740,0,2023-05-01 18:00:00,Null
107,VEH_3,2,M18385439,D_284,2023-05-01 19:16:31.815143759,0,60,2023-05-01 20:16:31.815143759,No
108,VEH_3,1,Null,O_323,2023-05-01 20:48:01.780167540,0 days 03:11:58.219832460,0,2023-05-02 00:00:00,Null
109,VEH_3,2,MF2305036200376,D_1371,2023-05-02 00:28:49.473960780,0,60,2023-05-02 01:28:49.473960780,No
110,VEH_3,1,Null,O_323,2023-05-02 01:58:34.909075200,0 days 04:01:25.090924800,0,2023-05-02 06:00:00,Null
111,VEH_3,2,MF2305036200385,D_1373,2023-05-02 08:21:28.846661400,0,60,2023-05-02 09:21:28.846661400,No
112,VEH_3,2,MF2305266367478,D_1567,2023-05-02 09:18:38.531308440,0,60,2023-05-02 10:18:38.531308440,No
113,VEH_3,1,Null,O_174,2023-05-02 10:51:22.350423360,-1 days +19:08:37.649576640,0,2023-05-02 06:00:00,Null
114,VEH_3,2,MF2305316395766,D_1631,2023-05-02 07:39:39.637495380,0,60,2023-05-02 08:39:39.637495380,No
115,VEH_3,1,Null,O_144,2023-05-02 09:11:59.632666920,-1 days +20:48:00.367333080,0,2023-05-02 06:00:00,Null
116,VEH_3,2,20230501B468791_001,D_56,2023-05-02 07:53:23.254096200,0,60,2023-05-02 08:53:23.254096200,No
117,VEH_3,1,Null,O_9,2023-05-02 09:23:06.799211520,0 days 02:36:53.200788480,0,2023-05-02 12:00:00,Null
118,VEH_3,2,M18386209,D_399,2023-05-02 15:08:12.011254860,0,60,2023-05-02 16:08:12.011254860,No
119,VEH_3,1,Null,O_144,2023-05-02 17:02:09.803645820,0 days 00:57:50.196354180,0,2023-05-02 18:00:00,Null
120,VEH_3,2,M18385475,D_338,2023-05-02 20:44:39.256911600,0,60,2023-05-02 21:44:39.256911600,No
121,VEH_3,1,Null,O_711,2023-05-02 22:05:31.867353360,0 days 01:54:28.132646640,0,2023-05-03 00:00:00,Null
122,VEH_3,2,20230503B474897_001,D_115,2023-05-03 01:29:53.845069320,0,60,2023-05-03 02:29:53.845069320,No
123,VEH_3,1,Null,O_629,2023-05-03 03:19:18.408109500,0 days 02:40:41.591890500,0,2023-05-03 06:00:00,Null
124,VEH_3,2,MF2305036205571,D_1468,2023-05-03 09:38:04.100261279,0,60,2023-05-03 10:38:04.100261279,No
125,VEH_3,1,Null,O_685,2023-05-03 11:30:50.290183860,-1 days +18:29:09.709816140,0,2023-05-03 06:00:00,Null
126,VEH_3,2,MF2305046250126,D_1615,2023-05-03 07:56:49.770280740,0,60,2023-05-03 08:56:49.770280740,No
127,VEH_3,1,Null,O_352,2023-05-03 09:32:57.207254820,-1 days +20:27:02.792745180,0,2023-05-03 06:00:00,Null
128,VEH_3,2,20230503B474980_001,D_208,2023-05-03 06:42:19.414920960,0,60,2023-05-03 07:42:19.414920960,No
129,VEH_3,1,Null,O_629,2023-05-03 08:23:29.268117,0 days 03:36:30.731883,0,2023-05-03 12:00:00,Null
130,VEH_3,2,MF2305036205426,D_1455,2023-05-03 15:20:56.253387240,0,60,2023-05-03 16:20:56.253387240,No
131,VEH_3,1,Null,O_591,2023-05-03 16:27:24.658682760,0 days 01:32:35.341317240,0,2023-05-03 18:00:00,Null
132,VEH_3,2,MF2305026196968,D_1295,2023-05-03 22:02:24.521387880,0,60,2023-05-03 23:02:24.521387880,No
133,VEH_3,1,Null,O_448,2023-05-03 23:42:30.718388099,0 days 00:17:29.281611901,0,2023-05-04 00:00:00,Null
134,VEH_3,2,MF2305046246976,D_1631,2023-05-04 01:05:47.542855980,0,60,2023-05-04 02:05:47.542855980,No
135,VEH_3,1,Null,O_144,2023-05-04 02:38:07.538027460,0 days 03:21:52.461972540,0,2023-05-04 06:00:00,Null
136,VEH_3,2,20230502B469176_001,D_95,2023-05-04 08:43:02.169774900,0,60,2023-05-04 09:43:02.169774900,No
137,VEH_3,1,Null,O_673,2023-05-04 10:09:08.046080340,0 days 01:50:51.953919660,0,2023-05-04 12:00:00,Null
138,VEH_3,2,M18389593,D_603,2023-05-04 15:48:36.759338640,0,60,2023-05-04 16:48:36.759338640,No
139,VEH_3,1,Null,O_466,2023-05-04 17:04:12.516320400,,0,,Null
140,VEH_4,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
141,VEH_4,2,M18434024,D_301,2023-05-01 00:22:35.005233600,0,60,2023-05-01 01:22:35.005233600,Yes
142,VEH_4,1,Null,O_9,2023-05-01 01:45:36.992678280,0 days 04:14:23.007321720,0,2023-05-01 06:00:00,Null
143,VEH_4,2,M18385276,D_282,2023-05-01 07:18:39.303936060,0,60,2023-05-01 08:18:39.303936060,No
144,VEH_4,1,Null,O_376,2023-05-01 08:42:30.946774439,0 days 03:17:29.053225561,0,2023-05-01 12:00:00,Null
145,VEH_4,2,MF2305016189733,D_1,2023-05-01 13:59:50.379572220,0,60,2023-05-01 14:59:50.379572220,No
146,VEH_4,1,Null,O_144,2023-05-01 15:15:50.607928140,-1 days +20:44:09.392071860,0,2023-05-01 12:00:00,Null
147,VEH_4,2,20230501B468025_001,D_108,2023-05-01 15:09:57.520993140,0,60,2023-05-01 16:09:57.520993140,No
148,VEH_4,1,Null,O_174,2023-05-01 16:37:10.967186580,-1 days +19:22:49.032813420,0,2023-05-01 12:00:00,Null
149,VEH_4,2,MF2305046222216,D_1543,2023-05-01 12:44:38.731839840,0,60,2023-05-01 13:44:38.731839840,No
150,VEH_4,1,Null,O_70,2023-05-01 13:56:09.088047960,-1 days +22:03:50.911952040,0,2023-05-01 12:00:00,Null
151,VEH_4,2,MF2305186334065,D_2230,2023-05-01 13:32:55.546402500,0,60,2023-05-01 14:32:55.546402500,No
152,VEH_4,1,Null,O_9,2023-05-01 15:01:15.085008300,0 days 02:58:44.914991700,0,2023-05-01 18:00:00,Null
153,VEH_4,2,MF2305116277908,D_1939,2023-05-01 19:50:59.239176900,0,60,2023-05-01 20:50:59.239176900,No
154,VEH_4,1,Null,O_284,2023-05-01 21:16:31.237576080,0 days 02:43:28.762423920,0,2023-05-02 00:00:00,Null
155,VEH_4,2,MF2305026193831,D_1235,2023-05-02 01:47:03.928339620,0,60,2023-05-02 02:47:03.928339620,No
156,VEH_4,1,Null,O_685,2023-05-02 03:37:57.312094500,0 days 02:22:02.687905500,0,2023-05-02 06:00:00,Null
157,VEH_4,2,20230502B470829_001,D_1,2023-05-02 09:06:58.101880860,0,60,2023-05-02 10:06:58.101880860,No
158,VEH_4,1,Null,O_144,2023-05-02 10:22:58.330236840,0 days 01:37:01.669763160,0,2023-05-02 12:00:00,Null
159,VEH_4,2,M18387050,D_340,2023-05-02 13:59:58.972696260,0,60,2023-05-02 14:59:58.972696260,No
160,VEH_4,1,Null,O_466,2023-05-02 15:20:09.849858420,0 days 02:39:50.150141580,0,2023-05-02 18:00:00,Null
161,VEH_4,2,20230502B471806_001,D_1,2023-05-02 20:05:37.054094280,0,60,2023-05-02 21:05:37.054094280,No
162,VEH_4,1,Null,O_144,2023-05-02 21:21:37.282450200,0 days 02:38:22.717549800,0,2023-05-03 00:00:00,Null
163,VEH_4,2,20230501B466878_001,D_90,2023-05-03 03:07:26.870829180,0,60,2023-05-03 04:07:26.870829180,No
164,VEH_4,1,Null,O_591,2023-05-03 04:19:09.100652520,0 days 01:40:50.899347480,0,2023-05-03 06:00:00,Null
165,VEH_4,2,MF2305026196980,D_1295,2023-05-03 10:02:24.521387880,0,60,2023-05-03 11:02:24.521387880,No
166,VEH_4,3,MF2305086263826,D_1295,2023-05-03 06:00:00,60,60,2023-05-03 08:00:00,No
167,VEH_4,1,Null,O_448,2023-05-03 12:42:30.718388099,0 days 05:17:29.281611901,0,2023-05-03 18:00:00,Null
168,VEH_4,2,MF2305046245826,D_1618,2023-05-03 20:21:50.305152780,0,60,2023-05-03 21:21:50.305152780,No
169,VEH_4,1,Null,O_466,2023-05-03 21:51:06.687763920,0 days 14:08:53.312236080,0,2023-05-04 12:00:00,Null
170,VEH_4,2,MF2305106275766,D_1598,2023-05-04 15:22:59.816892300,0,60,2023-05-04 16:22:59.816892300,No
171,VEH_4,1,Null,O_9,2023-05-04 16:53:51.493236540,0 days 01:06:08.506763460,0,2023-05-04 18:00:00,Null
172,VEH_4,2,M18389507,D_368,2023-05-04 21:47:19.735622880,0,60,2023-05-04 22:47:19.735622880,No
173,VEH_4,1,Null,O_603,2023-05-04 23:29:59.728121640,0 days 00:30:00.271878360,0,2023-05-05 00:00:00,Null
174,VEH_4,2,MF2305116281595,D_1598,2023-05-05 04:23:47.863961040,0,60,2023-05-05 05:23:47.863961040,No
175,VEH_4,1,Null,O_603,2023-05-05 09:32:10.149440280,0 days 08:27:49.850559720,0,2023-05-05 18:00:00,Null
176,VEH_4,2,20230504B476738_001,D_108,2023-05-05 19:02:04.806845580,0,60,2023-05-05 20:02:04.806845580,No
177,VEH_4,1,Null,O_603,2023-05-05 21:04:27.087001620,0 days 02:55:32.912998380,0,2023-05-06 00:00:00,Null
178,VEH_4,2,20230506B478012_001,D_108,2023-05-06 01:02:04.806845580,0,60,2023-05-06 02:02:04.806845580,No
179,VEH_4,1,Null,O_174,2023-05-06 02:29:18.253039020,0 days 03:30:41.746960980,0,2023-05-06 06:00:00,Null
180,VEH_4,2,20230504B475162_001,D_109,2023-05-06 08:12:15.853967520,0,60,2023-05-06 09:12:15.853967520,No
181,VEH_4,1,Null,O_144,2023-05-06 09:52:48.075556260,0 days 02:07:11.924443740,0,2023-05-06 12:00:00,Null
182,VEH_4,2,20230504B475693_001,D_64,2023-05-06 15:09:21.503320200,0,60,2023-05-06 16:09:21.503320200,No
183,VEH_4,1,Null,O_9,2023-05-06 16:37:55.920628320,0 days 01:22:04.079371680,0,2023-05-06 18:00:00,Null
184,VEH_4,2,M18394427,D_293,2023-05-06 19:15:49.350238260,0,60,2023-05-06 20:15:49.350238260,No
185,VEH_4,1,Null,O_376,2023-05-06 20:57:01.235530140,-1 days +21:02:58.764469860,0,2023-05-06 18:00:00,Null
186,VEH_4,2,M18394396,D_332,2023-05-06 18:49:25.521059220,0,60,2023-05-06 19:49:25.521059220,No
187,VEH_4,1,Null,O_591,2023-05-06 20:07:20.812777440,-1 days +21:52:39.187222560,0,2023-05-06 18:00:00,Null
188,VEH_4,2,M18393571,D_581,2023-05-06 21:25:23.501175120,0,60,2023-05-06 22:25:23.501175120,No
189,VEH_4,1,Null,O_580,2023-05-06 23:02:46.131537300,,0,,Null
190,VEH_5,1,Null,O_9,2023-05-01 00:00:00,0 days 00:00:00,0,2023-05-01 00:00:00,Null
191,VEH_5,2,M18385491,D_332,2023-05-01 00:49:25.521059220,0,60,2023-05-01 01:49:25.521059220,Yes
192,VEH_5,1,Null,O_591,2023-05-01 02:07:20.812777440,0 days 15:52:39.187222560,0,2023-05-01 18:00:00,Null
193,VEH_5,2,20230501B467761_001,D_109,2023-05-01 20:42:02.166683340,0,60,2023-05-01 21:42:02.166683340,No
194,VEH_5,1,Null,O_144,2023-05-01 22:22:34.388272080,0 days 01:37:25.611727920,0,2023-05-02 00:00:00,Null
195,VEH_5,2,20230501B466752_001,D_36,2023-05-02 01:32:09.095213400,0,60,2023-05-02 02:32:09.095213400,No
196,VEH_5,1,Null,O_352,2023-05-02 03:13:13.598300640,0 days 02:46:46.401699360,0,2023-05-02 06:00:00,Null
197,VEH_5,2,MF2305026198573,D_1330,2023-05-02 06:42:38.923291140,0,60,2023-05-02 07:42:38.923291140,No
198,VEH_5,1,Null,O_352,2023-05-02 08:24:18.830153040,0 days 03:35:41.169846960,0,2023-05-02 12:00:00,Null
199,VEH_5,2,MF2305026198665,D_1333,2023-05-02 14:09:09.859338840,0,60,2023-05-02 15:09:09.859338840,No
200,VEH_5,1,Null,O_685,2023-05-02 15:51:03.885822540,0 days 02:08:56.114177460,0,2023-05-02 18:00:00,Null
201,VEH_5,2,MF2305026193384,D_1237,2023-05-02 19:26:55.375883880,0,60,2023-05-02 20:26:55.375883880,No
202,VEH_5,1,Null,O_292,2023-05-02 20:52:29.065169220,0 days 09:07:30.934830780,0,2023-05-03 06:00:00,Null
203,VEH_5,2,20230503B474843_001,D_108,2023-05-03 09:41:10.850044800,0,60,2023-05-03 10:41:10.850044800,No
204,VEH_5,1,Null,O_174,2023-05-03 11:08:24.296238240,0 days 00:51:35.703761760,0,2023-05-03 12:00:00,Null
205,VEH_5,2,20230502B469734_001,D_208,2023-05-03 12:44:45.198987240,0,60,2023-05-03 13:44:45.198987240,No
206,VEH_5,1,Null,O_629,2023-05-03 14:25:55.052183280,0 days 03:34:04.947816720,0,2023-05-03 18:00:00,Null
207,VEH_5,2,MF2305036205428,D_1455,2023-05-03 21:20:56.253387240,0,60,2023-05-03 22:20:56.253387240,No
208,VEH_5,1,Null,O_591,2023-05-03 22:27:24.658682760,0 days 01:32:35.341317240,0,2023-05-04 00:00:00,Null
209,VEH_5,2,MF2305136296487,D_1184,2023-05-04 03:39:04.035402600,0,60,2023-05-04 04:39:04.035402600,No
210,VEH_5,1,Null,O_603,2023-05-04 05:28:58.659852120,0 days 00:31:01.340147880,0,2023-05-04 06:00:00,Null
211,VEH_5,2,MF2305036207630,D_1278,2023-05-04 08:53:44.275408560,0,60,2023-05-04 09:53:44.275408560,No
212,VEH_5,1,Null,O_603,2023-05-04 12:53:51.916736100,0 days 05:06:08.083263900,0,2023-05-04 18:00:00,Null
213,VEH_5,2,20230503B473706_001,D_233,2023-05-04 18:34:42.733329660,0,60,2023-05-04 19:34:42.733329660,No
214,VEH_5,1,Null,O_326,2023-05-04 20:06:18.937320240,0 days 03:53:41.062679760,0,2023-05-05 00:00:00,Null
215,VEH_5,2,20230503B474595_001,D_96,2023-05-05 01:26:45.103802520,0,60,2023-05-05 02:26:45.103802520,No
216,VEH_5,1,Null,O_243,2023-05-05 02:50:45.415281300,0 days 03:09:14.584718700,0,2023-05-05 06:00:00,Null
217,VEH_5,2,20230504B476508_001,D_108,2023-05-05 07:31:03.345993420,0,60,2023-05-05 08:31:03.345993420,No
218,VEH_5,1,Null,O_243,2023-05-05 10:01:04.159179840,0 days 01:58:55.840820160,0,2023-05-05 12:00:00,Null
219,VEH_5,2,20230504B476391_001,D_109,2023-05-05 15:07:30.041599560,0,60,2023-05-05 16:07:30.041599560,No
220,VEH_5,1,Null,O_243,2023-05-05 19:36:52.170513360,0 days 04:23:07.829486640,0,2023-05-06 00:00:00,Null
